"Subject","Rep","Day","pH","Treat","subj_rep"
"Media & fiber","B","d2",7,"Kale","Media & fiberB"
"Media & fiber","B","d3",6.94,"Kale","Media & fiberB"
"Media & fiber","C","d0",6.97,"Kale","Media & fiberC"
"Media & fiber","C","d1",6.58,"Kale","Media & fiberC"
"Media & fiber","C","d2",7,"Kale","Media & fiberC"
"Media & fiber","C","d3",6.93,"Kale","Media & fiberC"
"Sub1","A","d0",6.86,"Kale","Sub1A"
"Sub1","A","d1",5.91,"Kale","Sub1A"
"Sub1","A","d2",6.24,"Kale","Sub1A"
"Sub1","A","d3",6.24,"Kale","Sub1A"
"Sub1","B","d0",6.88,"Kale","Sub1B"
"Sub1","B","d1",5.89,"Kale","Sub1B"
"Sub1","B","d2",6.24,"Kale","Sub1B"
"Sub1","B","d3",6.2,"Kale","Sub1B"
"Sub1","C","d0",6.86,"Kale","Sub1C"
"Sub1","C","d1",5.87,"Kale","Sub1C"
"Sub1","C","d2",6.17,"Kale","Sub1C"
"Sub1","C","d3",6.16,"Kale","Sub1C"
"Sub2","A","d0",6.88,"Kale","Sub2A"
"Sub2","A","d1",5.9,"Kale","Sub2A"
"Sub2","A","d2",6.33,"Kale","Sub2A"
"Sub2","A","d3",6.28,"Kale","Sub2A"
"Sub2","B","d0",6.89,"Kale","Sub2B"
"Sub2","B","d1",5.92,"Kale","Sub2B"
"Sub2","B","d2",6.3,"Kale","Sub2B"
"Sub2","B","d3",6.21,"Kale","Sub2B"
"Sub2","C","d0",6.86,"Kale","Sub2C"
"Sub2","C","d1",5.85,"Kale","Sub2C"
"Sub2","C","d2",6.32,"Kale","Sub2C"
"Sub2","C","d3",6.23,"Kale","Sub2C"
"Sub3","A","d0",6.88,"Kale","Sub3A"
"Sub3","A","d1",5.7,"Kale","Sub3A"
"Sub3","A","d2",6.03,"Kale","Sub3A"
"Sub3","A","d3",6,"Kale","Sub3A"
"Sub3","B","d0",6.86,"Kale","Sub3B"
"Sub3","B","d1",5.77,"Kale","Sub3B"
"Sub3","B","d2",6.05,"Kale","Sub3B"
"Sub3","B","d3",6,"Kale","Sub3B"
"Sub3","C","d0",6.87,"Kale","Sub3C"
"Sub3","C","d1",5.7,"Kale","Sub3C"
"Sub3","C","d2",6.05,"Kale","Sub3C"
"Sub3","C","d3",6.16,"Kale","Sub3C"
"Sub4","A","d0",6.84,"Kale","Sub4A"
"Sub4","A","d1",5.69,"Kale","Sub4A"
"Sub4","A","d2",5.88,"Kale","Sub4A"
"Sub4","A","d3",5.84,"Kale","Sub4A"
"Sub4","B","d0",6.84,"Kale","Sub4B"
"Sub4","B","d1",5.72,"Kale","Sub4B"
"Sub4","B","d2",5.96,"Kale","Sub4B"
"Sub4","B","d3",5.91,"Kale","Sub4B"
"Sub4","C","d0",6.84,"Kale","Sub4C"
"Sub4","C","d1",5.69,"Kale","Sub4C"
"Sub4","C","d2",5.93,"Kale","Sub4C"
"Sub4","C","d3",5.87,"Kale","Sub4C"
"Sub5","A","d0",6.92,"Kale","Sub5A"
"Sub5","A","d1",5.75,"Kale","Sub5A"
"Sub5","A","d2",6.06,"Kale","Sub5A"
"Sub5","A","d3",6.04,"Kale","Sub5A"
"Sub5","B","d0",6.89,"Kale","Sub5B"
"Sub5","B","d1",5.77,"Kale","Sub5B"
"Sub5","B","d2",6.07,"Kale","Sub5B"
"Sub5","B","d3",6.02,"Kale","Sub5B"
"Sub5","C","d0",6.9,"Kale","Sub5C"
"Sub5","C","d1",5.76,"Kale","Sub5C"
"Sub5","C","d2",6.08,"Kale","Sub5C"
"Sub5","C","d3",6.02,"Kale","Sub5C"
"Media only","A","d0",7.02,"MSPrebio","Media onlyA"
"Media only","A","d1",7.23,"MSPrebio","Media onlyA"
"Media only","A","d2",7.3,"MSPrebio","Media onlyA"
"Media only","A","d3",7.21,"MSPrebio","Media onlyA"
"Media only","B","d0",7.02,"MSPrebio","Media onlyB"
"Media only","B","d1",7.21,"MSPrebio","Media onlyB"
"Media only","B","d2",7.27,"MSPrebio","Media onlyB"
"Media only","B","d3",7.21,"MSPrebio","Media onlyB"
"Media only","C","d0",7,"MSPrebio","Media onlyC"
"Media only","C","d1",7.21,"MSPrebio","Media onlyC"
"Media only","C","d2",7.26,"MSPrebio","Media onlyC"
"Media only","C","d3",7.21,"MSPrebio","Media onlyC"
